PSMSL_site,NOAA_name,PSMSLID,NOAAID,lat,lon
ADAK_SWEEPER_COVE,Adak Island,487,9461380,51.86,-176.63
ALAMEDA,Alameda,437,9414750,37.77,-122.3
ANCHORAGE,Anchorage,1067,9455920,61.24,-149.89
ANNAPOLIS,Annapolis,311,8575512,38.98,-76.48
APALACHICOLA,Apalachicola,1193,8728690,29.73,-84.98
APRA_HARBOR,Apra Harbor Guam,540,1630000,13.44,144.65
ARENA_COVE,Arena Cove,2125,9416841,38.91,-123.71
ASTORIA,Astoria,265,9439040,46.21,-123.77
ATLANTIC_CITY,Atlantic City,180,8534720,39.35,-74.42
BALTIMORE,Baltimore Fort McHenry Patapsco River,148,8574680,39.27,-76.58
BAR_HARBOR,Bar Harbor,525,8413320,44.39,-68.2
BAY_WAVELAND_YACHT_CLUB_II,Bay Waveland Yacht Club,2215,8747437,30.33,-89.33
BEAUFORT,Beaufort Duke Marine Lab,2295,8656483,34.72,-76.67
BERGEN_POINT,Bergen Point West Reach,1637,8519483,40.64,-74.14
BOSTON,Boston,235,8443970,42.35,-71.05
BRIDGEPORT,Bridgeport,1068,8467150,41.17,-73.18
CAMBRIDGE_II,Cambridge,1295,8571892,38.57,-76.07
CAPE_MAY,Cape May,1153,8536110,38.97,-74.96
CEDAR_KEY_II,Cedar Key,428,8727520,29.14,-83.03
CHARLESTON_I,Charleston Cooper River Entrance,234,8665530,32.78,-79.92
CHARLESTON_II,Charleston,1269,9432780,43.34,-124.32
CHARLOTTE_AMALIE,Charlotte Amalie,1393,9751639,18.34,-64.92
CHERRY_POINT,Cherry Point,1633,9449424,48.86,-122.76
CLEARWATER_BEACH,Clearwater Beach,1638,8726724,27.98,-82.83
CORDOVA,Cordova,566,9454050,60.56,-145.75
CORPUS_CHRISTI,Bob Hall Pier Corpus Christi,1903,8775870,27.58,-97.22
CRESCENT_CITY,Crescent City,378,9419750,41.74,-124.18
DAUPHIN_ISLAND,Dauphin Island,1156,8735180,30.25,-88.08
DUCK_PIER_OUTSIDE,Duck,1636,8651370,36.18,-75.75
EASTPORT,Eastport,332,8410140,44.9,-66.98
EUGENE_ISLAND,Eugene Island North of  Gulf of Mexico,440,8764314,29.37,-91.39
FERNANDINA_BEACH,Fernandina Beach,112,8720030,30.67,-81.47
FORT_MYERS,Fort Myers,1106,8725520,26.65,-81.87
FORT_PULASKI,Fort Pulaski,395,8670870,32.03,-80.9
FRIDAY_HARBOR,Friday Harbor,384,9449880,48.55,-123.01
GALVESTON_II,Galveston Pier 21,161,8771450,29.31,-94.79
GRAND_ISLE,Grand Isle,526,8761724,29.26,-89.96
HILO,Hilo Hilo Bay Kuhio Bay,300,1617760,19.73,-155.06
HONOLULU,Honolulu,155,1612340,21.31,-157.87
JUNEAU,Juneau,405,9452210,58.3,-134.41
KAHULUI_HARBOR,Kahului Kahului Harbor,521,1615680,20.89,-156.48
KAWAIHAE,Kawaihae,2128,1617433,20.04,-155.83
KETCHIKAN,Ketchikan,225,9450460,55.33,-131.62
