,name,NOAA_name,PSMSLID,NOAAID,distance,mod_index,model_coords,dim_vals,real_coords
8,ATLANTIC_CITY,Atlantic City,180,8534720,2.054397849834873,5769,"(39.360065, -74.399994)","(39.36006546020508, -74.39999389648438)","(39.35, -74.42)"
15,BRIDGEPORT,Bridgeport,1068,8467150,4.683985025749751,7491,"(41.130714, -73.20001)","(41.130714416503906, -73.20001220703125)","(41.17, -73.18)"
17,CAPE_MAY,Cape May,1153,8536110,4.926150846049509,5237,"(38.925747, -74.95999)","(38.92574691772461, -74.95999145507812)","(38.97, -74.96)"
28,DUCK_PIER_OUTSIDE,Duck,1636,8651370,6.6522547832345476,1580,"(36.199463, -75.67999)","(36.199462890625, -75.67999267578125)","(36.18, -75.75)"
45,KIPTOPEKE_BEACH,Kiptopeke,636,8632200,0.9097798552851222,2892,"(37.16181, -76.0)","(37.16181182861328, -76.0)","(37.16, -75.99)"
50,LEWES,Lewes,224,8557380,2.355918916494666,5078,"(38.801163, -75.119995)","(38.80116271972656, -75.1199951171875)","(38.78, -75.12)"
59,MONTAUK,Montauk,519,8510560,4.0550438853671,7454,"(41.070427, -72.0)","(41.07042694091797, -72.0)","(41.05, -71.96)"
61,NANTUCKET_ISLAND,Nantucket Island,1111,8449130,3.858808994150501,7660,"(41.311234, -70.07999)","(41.31123352050781, -70.07998657226562)","(41.28, -70.1)"
65,NEWPORT,Newport,351,8452660,9.110050084106957,7702,"(41.431305, -71.359985)","(41.431304931640625, -71.3599853515625)","(41.51, -71.33)"
70,OCEAN_CITY_INLET,Ocean City Inlet,2292,8570283,5.4531478939854185,4470,"(38.30065, -75.04001)","(38.30065155029297, -75.04000854492188)","(38.33, -75.09)"
71,OREGON_INLET_MARINA,Oregon Inlet Marina,2325,8652587,2.9806894286098706,1080,"(35.81116, -75.51999)","(35.811161041259766, -75.51998901367188)","(35.8, -75.55)"
79,PORTLAND,Portland,183,8418150,7.339270647271092,8458,"(43.67042, -70.16)","(43.6704216003418, -70.16000366210938)","(43.66, -70.25)"
88,SANDY_HOOK,Sandy Hook,366,8531680,7.644712908926756,6921,"(40.464542, -73.92001)","(40.464542388916016, -73.92001342773438)","(40.47, -74.01)"
94,SEAVEY_ISLAND,Seavey Island,288,8419870,8.189865765459157,8276,"(43.088974, -70.640015)","(43.08897399902344, -70.6400146484375)","(43.08, -70.74)"
97,SEWELLS_POINT,Sewells Point,299,8638610,8.318981489408866,2615,"(36.970306, -76.23999)","(36.970306396484375, -76.239990234375)","(36.95, -76.33)"
100,SOLOMONS_ISLAND,Solomons Island,412,8577330,11.556850551241642,4467,"(38.30065, -76.32001)","(38.30065155029297, -76.32000732421875)","(38.32, -76.45)"
