Country,PSMSL_site,NOAA_name,PSMSLID,NOAAID,lat,lon
New Zealand,WELLINGTON_HARBOUR,,221,,-41.28434,174.7798
United States,ATLANTIC_CITY,Atlantic City,180,8534720,39.355,-74.418333
Panama,BALBOA,,163,,8.966667,-79.566667
Japan,KUSHIMOTO,,134,,33.475833,135.773333
United States,SAN_DIEGO,San Diego San Diego Bay,158,9410170,32.713333,-117.173333
France,BREST,,1,,48.38285,-4.494838
United States,CHARLESTON,,234,,32.781667,-79.925
Egypt,ALEXANDRIA,,503,,31.216667,29.916667
Fiji,LAUTOKA,,1805,,-17.604917,177.43825
United States,NEW_YORK,The Battery,12,8518750,40.7,-74.013333
China,LUSI,,979,,32.133333,121.616667
Argentina,BUENOS_AIRES,,157,,-34.6,-58.366667
Guam,PAGO_BAY_GUAM,,2130,,13.428333,144.796667
Australia,SYDNEY_FORT_DENISON,,65,,-33.85,151.233333
Italy,VENEZIA_ARSENALE,,87,,45.416667,12.35
Germany,CUXHAVEN,,7,,53.866667,8.716667
Tanzania,ZANZIBAR,,1600,,-6.15,39.183333
French Polynesia,PAPEETE,,1397,,-17.533081,-149.572724
